Id,Naziv
493,MR sijalografija
503,MR slezene 
522,MR spektroskopija koštane srži
497,MR srca
516,MR stopala ili šake 
117,MR torakalne kralježnice
506,MR urografija 
494,MR vrata 
510,MR zdjelice
74,Maksilofacijalna kirurgija - Kontrolni pregled
73,Maksilofacijalna kirurgija - Prvi pregled
1257,Maksilofacijalna kirurgija - konzultacija bez pacijenta
1011,Maksilofacijalna kirurgija - mali zahvat
1097,Maksilofacijalna kirurgija - ostali postupci
1009,Maksilofacijalna kirurgija - srednje velik zahvat u lokalnoj anesteziji 
1010,Maksilofacijalna kirurgija - srednje velik zahvat u općoj anesteziji 
962,Mali oralnokirurški zahvati na mekim i tvrdim tkivima
964,Mali oralnokirurški zahvati na mekim tkivima
963,Mali oralnokirurški zahvati na tvrdim tkivima
474,Mamografija
1147,Mamografija u sklopu nacionalnih preventivnih programa
1274,Medicinska biokemija - konzultacija bez pacijenta
1114,Medicinska biokemija - ostali postupci
1407,Medicinska genetika - konzultacija bez pacijenta
1443,Medicinska mikrobiologija s parazitologijom - konzultacija bez pacijenta
1204,Medicinska mikrobiologija s parazitologijom - ostali postupci
709,Mikološka pretraga kože
834,Mjerenje očnog tlaka
968,Nagrizna udlaga/palatinalna ploča
833,Naočale - određivanje dioptrije
986,Nastavak terapije novom napravom
10,Nefrologija - Kontrolni pregled
9,Nefrologija - Prvi pregled
1386,Nefrologija - konzultacija bez pacijenta
72,Neurokirurgija - Kontrolni pregled
71,Neurokirurgija - Prvi pregled
1256,Neurokirurgija - konzultacija bez pacijenta
1096,Neurokirurgija - ostali postupci
32,Neurologija - Kontrolni pregled
31,Neurologija - Prvi pregled
570,Neurologija - glavobolje - kontrolni pregled
569,Neurologija - glavobolje - prvi pregled
1250,Neurologija - konzultacija bez pacijenta
1090,Neurologija - ostali postupci
586,Neurooftalmologija - kontrolni pregled
1432,Neurooftalmologija - konzultacija bez pacijenta
585,Neurooftalmologija - prvi pregled
1029,Nistagmografija
120,Nuklearna medicina - Kontrolni pregled
119,Nuklearna medicina - Prvi pregled
1050,Nuklearna medicina - hospitalizacija
1271,Nuklearna medicina - konzultacija bez pacijenta
1111,Nuklearna medicina - ostali postupci
1486,Nutricionistična/Dijetetička obrada - Kontrolni pregled
1485,Nutricionistična/Dijetetička obrada - Prvi pregled
781,OCT (optička koherentna tomografija)
1005,ORL - srednje velik zahvat u lokalnoj anesteziji 
1006,ORL - srednje velik zahvat u općoj anesteziji 
568,Oftalmokirurgija - mali zahvat
93,Oftalmologija - Kontrolni pregled
92,Oftalmologija - Prvi pregled
1261,Oftalmologija - konzultacija bez pacijenta
1101,Oftalmologija - ostali postupci
588,Oftalmoplastika i bolesti orbite - kontrolni pregled
587,Oftalmoplastika i bolesti orbite - prvi pregled
1247,Onkologija i radioterapija - konzultacija bez pacijenta
1087,Onkologija i radioterapija - ostali postupci
780,Operacija ablacije retine - konvencionalna
779,Operacija strabizma
806,Operacije ligamenata zgloba koljena
805,Operacije natkoljenice
804,Operacije potkoljenice
803,Operacije zgloba gležnja i stopala
801,Operacije zgloba lakta
802,Operacije zgloba ramena i nadlaktice
800,Operacije šake i podlaktice
461,Opstetricija - kontrolni pregled
460,Opstetricija - prvi pregled
56,Opća kirurgija - Kontrolni pregled
55,Opća kirurgija - Prvi pregled
845,Opća kirurgija - elektivni zahvati
1254,Opća kirurgija - konzultacija bez pacijenta
847,Opća kirurgija - malignomi
846,Opća kirurgija - nemaligne bolesti
1094,Opća kirurgija - ostali postupci
1208,Opći stacionar u skzz - ostali postupci
114,Oralna kirurgija - Kontrolni pregled
113,Oralna kirurgija - Prvi pregled
1269,Oralna kirurgija - konzultacija bez pacijenta
1109,Oralna kirurgija - ostali postupci
110,Oralna patologija - Kontrolni pregled
109,Oralna patologija - Prvi pregled
1267,Oralna patologija - konzultacija bez pacijenta
1107,Oralna patologija - ostali postupci
106,Ortodoncija - Kontrolni pregled
105,Ortodoncija - Prvi pregled
